CourseCode,ShortTitle,LongTitle,BeginTime,EndTime,Meets,Building,Room,Enrollment,Capacity
EDUC 203  B,CULT REL PEDAGO,CULTURALLY RELEVANT PEDAGOGY,14:30:00,15:45:00,TR,HAL,105,20,24
EDUC 204  A,TECH OF INSTRUC,THE TECHNOLOGIES OF INSTRUCTION,8:00:00,8:50:00,MWF,HAL,216,21,21
EDUC 204  B,TECH OF INSTRUC,THE TECHNOLOGIES OF INSTRUCTION,9:00:00,9:50:00,MWF,HAL,216,23,27
EDUC 228  A,ADOLESCENT LIT,ADOLESCENT LITERATURE,15:00:00,15:50:00,MW,HAL,101,8,8
EDUC 281  A,EARLY CHLDHD,EARLY CHILDHOOD FIELD EXPERIENCE,NULL,NULL,,HAL,104,28,28
EDUC 305  A,CURR & INSTRUCT,BASIC PRIN CURRICULUM/INSTRUCTION,10:05:00,11:20:00,TR,HAL,101,6,7
EDUC 305  B,CURR & INSTRUCT,BASIC PRIN CURRICULUM/INSTRUCTION,13:00:00,14:15:00,TR,HAL,101,2,2
EDUC 306  A,SEC MATH METH/F,SEC MATH METH/FIELD EX,16:00:00,17:50:00,R,HAL,114,3,3
EDUC 308  A,SEC ENGL METH/F,SEC ENGLISH METH/FIELD EX,15:00:00,16:40:00,M,HAL,105,8,9
EDUC 309  A,SEC SCIC METH/F,SEC SCIENCE METH/FIELD EX,18:30:00,20:10:00,W,HAL,101,5,6
EDUC 312  A,MUSIC METHODS,SECONDARY MUSIC METH-MUS ED MAJ,10:05:00,11:20:00,TR,PFAC,68,12,14
EDUC 324  A,TCHING EL SOC/S,TEACHING ELEM SOCIAL SCIENCES,13:00:00,13:50:00,MWF,HAL,115,28,33
EDUC 325  A,TCHING EL SCIEN,TEACHING ELEM SCI/HEALTH,8:00:00,9:15:00,TR,HAL,105,19,19
EDUC 325  B,TEACHING EL SCI,TEACHING ELEM SCI/HEALTH,10:05:00,11:20:00,TR,HAL,105,26,31
EDUC 326  A,TEACH ELEM/MID,TEACHING UPPER ELEM/MIDDLE LIT,10:00:00,10:50:00,MWF,HAL,105,21,25
EDUC 326  B,TEACH ELEM/MID,TEACHING UPPER ELEM/MIDDLE LIT,11:00:00,11:50:00,MWF,HAL,105,20,24
EDUC 326  C,TEACH ELEM/MID,TEACHING UPPER ELEM/MIDDLE LITERACY,13:00:00,13:50:00,MWF,HAL,105,8,9
EDUC 327  A,TCHING EL MATH,TEACHING ELEM MATH,11:00:00,11:50:00,MWF,HAL,101,13,15
EDUC 328  A,CHILD LIT/LANG,CHILDREN'S LITERATURE & LANGUAGE,15:00:00,15:50:00,MW,HAL,109,21,21
